depth_mm,evaluated_voxels,passing_voxels,failing_voxels,pass_rate_percent
0.125,386,363,23,94.04145077720207
0.375,386,386,0,100.0
0.625,385,385,0,100.0
0.875,386,386,0,100.0
1.125,386,386,0,100.0
1.375,386,386,0,100.0
1.625,386,386,0,100.0
1.875,385,385,0,100.0
2.125,386,386,0,100.0
2.375,385,385,0,100.0
2.625,385,385,0,100.0
2.875,385,385,0,100.0
3.125,386,386,0,100.0
3.375,385,385,0,100.0
3.625,385,385,0,100.0
3.875,385,385,0,100.0
4.125,385,385,0,100.0
4.375,385,385,0,100.0
4.625,385,385,0,100.0
4.875,386,386,0,100.0
5.125,385,385,0,100.0
5.375,386,386,0,100.0
5.625,386,386,0,100.0
5.875,384,384,0,100.0
6.125,384,384,0,100.0
6.375,384,384,0,100.0
6.625,384,384,0,100.0
6.875,384,384,0,100.0
7.125,385,385,0,100.0
7.375,383,383,0,100.0
7.625,383,383,0,100.0
7.875,384,384,0,100.0
8.125,384,384,0,100.0
8.375,384,384,0,100.0
8.625,384,384,0,100.0
8.875,384,384,0,100.0
9.125,384,384,0,100.0
9.375,384,384,0,100.0
9.625,384,384,0,100.0
9.875,385,385,0,100.0
10.125,384,384,0,100.0
10.375,384,384,0,100.0
10.625,384,384,0,100.0
10.875,384,384,0,100.0
11.125,384,384,0,100.0
11.375,384,384,0,100.0
11.625,384,384,0,100.0
11.875,384,384,0,100.0
12.125,384,384,0,100.0
12.375,384,384,0,100.0
12.625,384,384,0,100.0
12.875,384,384,0,100.0
13.125,384,384,0,100.0
13.375,384,384,0,100.0
13.625,383,383,0,100.0
13.875,383,383,0,100.0
14.125,383,383,0,100.0
14.375,383,383,0,100.0
14.625,384,384,0,100.0
14.875,383,383,0,100.0
15.125,383,383,0,100.0
15.375,385,385,0,100.0
15.625,385,385,0,100.0
15.875,385,385,0,100.0
16.125,385,385,0,100.0
16.375,384,384,0,100.0
16.625,385,385,0,100.0
16.875,383,383,0,100.0
17.125,383,383,0,100.0
17.375,385,385,0,100.0
17.625,385,385,0,100.0
17.875,385,385,0,100.0
18.125,385,385,0,100.0
18.375,385,385,0,100.0
18.625,384,384,0,100.0
18.875,384,384,0,100.0
19.125,384,384,0,100.0
19.375,384,384,0,100.0
19.625,385,385,0,100.0
19.875,385,385,0,100.0
20.125,384,384,0,100.0
20.375,384,384,0,100.0
20.625,384,384,0,100.0
20.875,385,385,0,100.0
21.125,385,385,0,100.0
21.375,384,384,0,100.0
21.625,384,384,0,100.0
21.875,384,384,0,100.0
22.125,384,384,0,100.0
22.375,384,384,0,100.0
22.625,384,384,0,100.0
22.875,385,385,0,100.0
23.125,384,384,0,100.0
23.375,384,384,0,100.0
23.625,384,384,0,100.0
23.875,384,384,0,100.0
24.125,384,384,0,100.0
24.375,384,384,0,100.0
24.625,384,384,0,100.0
24.875,384,384,0,100.0
25.125,384,384,0,100.0
25.375,384,384,0,100.0
25.625,384,384,0,100.0
25.875,385,385,0,100.0
26.125,385,385,0,100.0
26.375,385,385,0,100.0
26.625,385,385,0,100.0
26.875,385,385,0,100.0
27.125,384,384,0,100.0
27.375,384,384,0,100.0
27.625,384,384,0,100.0
27.875,384,384,0,100.0
28.125,384,384,0,100.0
28.375,384,384,0,100.0
28.625,384,384,0,100.0
28.875,384,384,0,100.0
29.125,384,384,0,100.0
29.375,384,384,0,100.0
29.625,384,384,0,100.0
29.875,384,384,0,100.0
30.125,384,384,0,100.0
30.375,384,384,0,100.0
30.625,385,385,0,100.0
30.875,385,385,0,100.0
31.125,385,385,0,100.0
31.375,385,385,0,100.0
31.625,385,385,0,100.0
31.875,385,385,0,100.0
32.125,385,385,0,100.0
32.375,385,385,0,100.0
32.625,385,385,0,100.0
32.875,385,385,0,100.0
33.125,385,385,0,100.0
33.375,385,385,0,100.0
33.625,386,386,0,100.0
33.875,386,386,0,100.0
34.125,386,386,0,100.0
34.375,385,385,0,100.0
34.625,386,386,0,100.0
34.875,385,385,0,100.0
35.125,385,385,0,100.0
35.375,385,385,0,100.0
35.625,385,385,0,100.0
35.875,385,385,0,100.0
